                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0776,                 7.2014,                 4.3474,                0.00048,                0.05738,                0.00079,                0.00038,                 5.7428,                 13.129,                 4.1618,                0.00014,                0.00014,                0.00014
                      2,                 4.2293,                 6.9148,                 4.3132,                0.00049,                0.05738,                0.00078,                0.00035,                 5.7377,                 13.107,                 4.1627,              0.0002802,              0.0002802,              0.0002802
                      3,                 4.3917,                 7.9123,                 4.2347,                0.00049,                0.05738,                0.00069,                0.00031,                 5.7296,                 13.091,                 4.1643,             0.00039928,             0.00039928,             0.00039928
                      4,                 4.1371,                 6.8762,                 4.1677,                0.00048,                0.05738,                0.00057,                0.00026,                 5.7125,                 12.925,                 4.1646,             0.00049724,             0.00049724,             0.00049724
                      5,                 4.2786,                 6.5224,                 4.1075,                0.00047,                0.05738,                0.00047,                0.00023,                 5.6803,                 12.394,                 4.1565,             0.00057408,             0.00057408,             0.00057408
                      6,                  4.298,                 8.2666,                  3.991,                0.00046,                0.05738,                0.00048,                0.00023,                 5.6632,                 11.654,                 4.1721,              0.0006298,              0.0006298,              0.0006298
                      7,                  4.393,                 7.5526,                 3.7204,                0.00046,                0.05738,                0.00054,                0.00023,                 5.7197,                 11.177,                 4.2398,              0.0006644,              0.0006644,              0.0006644
                      8,                 3.8208,                 6.7242,                 3.5053,                0.00046,                0.05738,                0.00056,                0.00023,                 5.8133,                 10.146,                 4.2983,             0.00067788,             0.00067788,             0.00067788
                      9,                 3.9213,                 6.3062,                 3.3863,                0.00047,                0.05738,                0.00051,                0.00021,                 5.9324,                 9.9236,                 4.3557,             0.00067024,             0.00067024,             0.00067024
                     10,                 3.8075,                 5.6931,                 3.0661,                0.00048,                0.05738,                0.00051,                0.00021,                 5.9592,                 10.509,                 4.4979,             0.00064148,             0.00064148,             0.00064148
                     11,                 3.6623,                 5.4107,                 2.9412,                0.00047,                0.05738,                0.00052,                0.00027,                 5.8683,                 10.749,                 4.5115,              0.0005916,              0.0005916,              0.0005916
                     12,                   3.45,                 5.0728,                 2.8448,                0.00047,                0.05738,                0.00054,                0.00032,                 5.6494,                 11.186,                 4.3992,              0.0005206,              0.0005206,              0.0005206
                     13,                 3.5316,                 4.9981,                 2.7594,                0.00047,                0.05738,                0.00131,                0.00055,                 5.3514,                 11.919,                 4.2717,               0.000416,               0.000416,               0.000416
                     14,                 3.5824,                 4.8785,                 2.7438,                0.00047,                0.05738,                0.00187,                 0.0009,                 5.1901,                 12.102,                 4.1961,               0.000284,               0.000284,               0.000284
                     15,                 3.4402,                 4.5571,                 2.7156,                0.00047,                0.05738,                0.00908,                0.00323,                 5.1898,                 11.697,                 4.1626,               0.000152,               0.000152,               0.000152
