                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0776,                 7.2014,                 4.3474,                0.00048,                0.05738,                0.00079,                0.00038,                 5.7428,                 13.129,                 4.1618,                0.00014,                0.00014,                0.00014
                      2,                 4.2303,                 6.9328,                 4.3172,                0.00049,                0.05738,                0.00083,                0.00034,                 5.7374,                 13.102,                 4.1624,             0.00029505,             0.00029505,             0.00029505
                      3,                 4.4311,                 7.9177,                 4.2088,                0.00049,                0.05738,                0.00072,                0.00032,                 5.7291,                  13.08,                 4.1637,             0.00044482,             0.00044482,             0.00044482
                      4,                 4.1311,                 6.7757,                 4.1699,                0.00048,                0.05738,                0.00062,                0.00026,                  5.708,                 12.915,                 4.1662,             0.00058931,             0.00058931,             0.00058931
                      5,                 4.2437,                 6.3177,                 4.0635,                0.00047,                0.05738,                0.00047,                0.00024,                 5.6509,                  12.35,                 4.1626,             0.00072852,             0.00072852,             0.00072852
                      6,                 4.3034,                 6.7054,                 3.8706,                0.00046,                0.05738,                0.00045,                0.00024,                 5.5693,                 11.307,                 4.2031,             0.00086245,             0.00086245,             0.00086245
                      7,                 4.0053,                 5.4683,                 3.6062,                0.00046,                0.05738,                0.00054,                0.00025,                 5.6407,                 10.061,                 4.3037,              0.0009911,              0.0009911,              0.0009911
                      8,                   3.61,                  4.808,                  3.507,                0.00046,                0.05738,                0.00067,                 0.0003,                 5.7528,                  9.765,                 4.4003,              0.0011145,              0.0011145,              0.0011145
                      9,                 3.6071,                 4.6241,                 3.2428,                0.00048,                0.05738,                0.00075,                0.00031,                  5.844,                  11.19,                 4.6701,              0.0012326,              0.0012326,              0.0012326
                     10,                 3.4562,                 4.3129,                 2.9774,                0.00049,                0.05738,                0.00082,                0.00033,                 5.9145,                 13.737,                 4.8456,              0.0013454,              0.0013454,              0.0013454
                     11,                 3.3203,                 3.9064,                 2.9141,                0.00139,                0.05738,                0.00171,                 0.0007,                 6.0281,                 15.544,                 5.1115,              0.0014529,              0.0014529,              0.0014529
                     12,                 3.4123,                 3.9226,                 2.6318,                0.00137,                0.05738,                0.00098,                0.00043,                 6.0262,                 14.122,                 5.0313,              0.0015552,              0.0015552,              0.0015552
                     13,                 3.4018,                 3.7915,                 2.5164,                0.00063,                0.05738,                0.00069,                 0.0003,                 5.9539,                 13.077,                 4.9222,               0.001604,               0.001604,               0.001604
                     14,                 3.2324,                 3.5454,                 2.6635,                0.00053,                0.05738,                0.00052,                0.00026,                  5.956,                 14.971,                 4.7886,               0.001571,               0.001571,               0.001571
                     15,                  3.173,                 3.3692,                 2.3087,                0.00053,                0.06148,                0.00041,                0.00022,                 5.6597,                 23.256,                  4.348,               0.001538,               0.001538,               0.001538
                     16,                 3.1638,                 3.3126,                 2.4568,                0.00104,                0.09836,                0.00082,                0.00035,                 4.4775,                 11.591,                 3.3874,               0.001505,               0.001505,               0.001505
                     17,                 3.2184,                 3.2104,                  2.347,                0.08457,                0.01743,                0.01835,                 0.0053,                 3.3456,                 5.0197,                 2.5769,               0.001472,               0.001472,               0.001472
                     18,                 3.0798,                  3.073,                 2.2854,                0.15921,                0.18033,                0.05198,                0.01383,                 3.0789,                  4.839,                  2.251,               0.001439,               0.001439,               0.001439
                     19,                 2.8775,                  2.963,                 2.3441,                0.15841,                0.14344,                0.06909,                 0.0203,                 2.8579,                 4.4446,                 2.0639,               0.001406,               0.001406,               0.001406
                     20,                 3.0362,                 2.9809,                 2.1765,                0.20271,                0.34426,                0.13889,                 0.0453,                 2.7322,                 3.4908,                  2.006,               0.001373,               0.001373,               0.001373
                     21,                 2.8816,                 2.7993,                  2.229,                0.25094,                0.36248,                0.15544,                0.04375,                  2.855,                 3.9107,                 1.9964,                0.00134,                0.00134,                0.00134
                     22,                 2.8943,                 2.6374,                 2.1377,                0.21581,                0.40574,                0.15593,                0.04739,                 2.7923,                 3.9114,                 1.9831,               0.001307,               0.001307,               0.001307
                     23,                 2.9058,                 2.8381,                 2.1424,                0.15609,                0.35246,                0.10409,                0.03004,                 2.8981,                 6.5315,                 2.1116,               0.001274,               0.001274,               0.001274
                     24,                  2.877,                 2.7121,                   2.12,                0.13612,                0.39754,                0.08341,                0.02389,                 2.9581,                  9.812,                 2.2036,               0.001241,               0.001241,               0.001241
